DESHARNAIS

4

$TEAMEXP,$MANAGEREXP,$YEAREND,$LENGTH,$TRANSACTIONS,$ENTITIES,$POINTSNONADJUST,$ADJUSTMENT,$POINTSADJUST,$LANGUAGE,$EFFORT
1,1,3575/41,443/41,3647/41,6177/82,13471/82,992/41,11959/82,115/82,101542/41

50/19,45/19,85,305/19,3389/19,2953/19,6342/19,653/19,6306/19,1,206626/19

3.18309859155,1.81690140845,85,15.2253521127,141.14084507,185.478873239,326.61971831,33.8169014085,323.070422535,1,7767.23943662
2.34782608696,0.391304347826,86.8260869565,10.5217391304,197.043478261,103.739130435,300.782608696,25.5652173913,274.913043478,1.82608695652,5882.13043478
3.46987951807,4.87951807229,86.265060241,12.2048192771,110.084337349,83.5421686747,193.626506024,17.7108433735,164.951807229,1.26506024096,2976.01204819
2,45/23,2023/23,411/46,11411/46,275/23,11961/46,1297/46,11157/46,1,91861/23

2,0.348214285714,86.3482142857,6.52232142857,102.513392857,195.303571429,297.816964286,35.4330357143,299.638392857,1,3622.4375
2.8781512605,3,85,6.1218487395,89.6554621849,51.8025210084,141.457983193,30.2941176471,134.046218487,1,3118.08823529
133/66,3,85,461/66,1271/11,4729/66,12355/66,601/33,10271/66,1,65807/22

1.45588235294,2.18382352941,86,18.5588235294,382.404411765,158.058823529,540.463235294,35.6470588235,557.411764706,1.72794117647,10673.9191176
12/37,18/37,86,268/37,194,4006/37,11184/37,984/37,10576/37,43/37,149779/37

3.27472527473,4,85.7252747253,35.2747252747,804.406593407,201.472527473,1005.87912088,30.010989011,964.417582418,1.72527472527,16111.3846154
2.57407407407,4,86.4259259259,34.5740740741,725.583333333,163.287037037,888.87037037,26.1574074074,817.981481481,2.42592592593,8548.55555556
22/19,44/19,1623/19,230/19,2544/19,2862/19,5406/19,638/19,5325/19,1,102060/19

0.338582677165,0.677165354331,85.8307086614,6.37007874016,178.547244094,131.787401575,310.334645669,33.1692913386,304.842519685,1,5557.97244094
2.50955414013,3.26433121019,86.7547770701,9.75477707006,111.789808917,52.3407643312,164.130573248,13.4140127389,129.506369427,2.24522292994,1045.87579618
1.64516129032,1.96774193548,86.3225806452,9.32258064516,130.806451613,44.1290322581,174.935483871,21.1935483871,151.548387097,2.67741935484,853.548387097
2.16037735849,2.83962264151,86.8396226415,25.9575471698,173.160377358,327.589622642,500.75,20.4433962264,426.966981132,1,14101.7971698
3.45731707317,1.54268292683,85.5426829268,17.5274390244,174.457317073,291.923780488,466.381097561,32.1158536585,450.960365854,1,6943.33841463
2.28947368421,2.28947368421,85.9342105263,4.28947368421,89.0921052632,106.815789474,195.907894737,16.4210526316,158.276315789,1.64473684211,3049.23684211
1.42068965517,1.42068965517,84.6310344828,3.42068965517,51.3,83.3586206897,134.65862069,18.1586206897,110.927586207,1.21034482759,2532.31034483
3.80681818182,4,85.3863636364,15.6136363636,95.3295454545,211.727272727,307.056818182,25.8409090909,277.875,1.19318181818,6719.20454545
3.23943661972,4,86.5211267606,14.4788732394,34.6197183099,334.281690141,368.901408451,22.4366197183,321.563380282,1.76056338028,5154.36619718
2,8/3,259/3,11/3,188/3,146/3,334/3,68/3,293/3,5/3,1967

3.78947368421,3.85964912281,85.1403508772,1.28070175439,42.3859649123,58.8070175439,101.192982456,18.4912280702,84.5438596491,1.0701754386,927.315789474
3,68/11,937/11,116/11,54,3210/11,3804/11,200/11,3109/11,19/11,73122/11

3,157/34,2843/34,199/34,2421/34,3735/34,3078/17,380/17,5231/34,41/34,61509/17

3.24482758621,4.74827586207,86.5034482759,20.4620689655,400.44137931,184.710344828,585.151724138,23.9862068966,527.948275862,2.25172413793,7022.52068966
2.14473684211,4.38157894737,87.2368421053,12.3947368421,281.631578947,123.105263158,404.736842105,21.0526315789,357.434210526,2.61842105263,3996.17105263
1,23/18,773/9,91/9,6793/18,442/9,853/2,163/6,3551/9,1,79625/18

1,1.7275862069,84.0896551724,11.9103448276,258.189655172,50.9103448276,309.1,25.8172413793,282.103448276,1,4105.59655172
1,2.80620155039,86.1937984496,7.61240310078,165.511627907,84.4031007752,249.914728682,30.9302325581,246.620155039,2,3228.51937984
1,2.13020833333,86.8697916667,6.26041666667,66.140625,40.4635416667,106.604166667,16.734375,91.8177083333,2,1842.05729167
4,3.35826771654,85.3582677165,12.0748031496,108.429133858,228.724409449,337.153543307,39.8937007874,348.460629921,1.35826771654,9460.94094488
4,47/12,1031/12,55/4,293/4,914/3,4535/12,271/12,3947/12,23/12,16877/4

1.0737704918,2.85245901639,85.9262295082,11.7786885246,131.040983607,85.5327868852,216.573770492,6.47540983607,154.262295082,2,3567.47540984
1.70786516854,1.58426966292,85.2921348315,9.87640449438,122.797752809,55.7303370787,178.528089888,19.1573033708,147.921348315,2,2883.92134831
1.592,1.888,85,5.888,184.528,82.12,266.648,34.112,264.576,1,5744.032
179/67,235/67,85,503/67,11206/67,4417/67,15623/67,2177/67,15231/67,1,304087/67

1.74436090226,1.37218045113,86,5.37218045113,86.5601503759,78.9022556391,165.462406015,14.3721804511,131.439849624,1.37218045113,2280.31578947
2.63716814159,1.8185840708,86,5.8185840708,96.8274336283,54.796460177,151.623893805,14.8185840708,121.172566372,1.8185840708,1992.83185841
2.00793650794,3.98412698413,86.9841269841,14.9444444444,321.380952381,182.920634921,504.301587302,34.9285714286,504.182539683,2,11283.6666667
2.82867132867,2.34265734266,85.3426573427,9.1993006993,153.951048951,71.3006993007,225.251748252,27.541958042,212.821678322,2,3286.42657343
3.58709677419,4,83.0322580645,21.3161290323,373.116129032,171.322580645,544.438709677,37.5225806452,562.083870968,1.41290322581,7850.83870968
2.41071428571,4,85.9732142857,13.6696428571,310.767857143,109.5625,420.330357143,30.4642857143,405.625,2.58928571429,3095.3125
1.76612903226,4,85.7661290323,6.63709677419,293.60483871,113.290322581,406.89516129,36.2983870968,413.088709677,1,5629.2983871
1.24825174825,4,85.2482517483,10.2622377622,266.157342657,71.8601398601,338.017482517,34.7447552448,337.996503497,1,5306.66083916
55/27,215/81,86,458/81,3850/81,865/27,6445/81,2243/81,5959/81,134/81,90671/81

143/38,79/38,86,193/38,1078/19,1283/38,181/2,548/19,169/2,41/38,33201/38

4,1.79918032787,86.4672131148,17.0696721311,282.422131148,89.4549180328,371.87704918,36.0696721311,376.487704918,1,9085.19672131
4,3.07391304348,85.6173913043,12.3956521739,248.004347826,107.726086957,355.730434783,31.3956521739,343.769565217,1,6705.69565217
1.70588235294,3.14705882353,84.2941176471,11.9705882353,128.558823529,71.8529411765,200.411764706,11.9705882353,155.294117647,2.14705882353,2020.73529412
24/25,88/25,2126/25,234/25,2869/25,294/5,4339/25,234/25,3267/25,63/25,34398/25

3.74840764331,3.24522292994,85.7484076433,12,281.267515924,223.461783439,504.729299363,32.9936305732,496.968152866,1.74840764331,13181.9140127
3.34074074074,2.02222222222,85.3407407407,12,221.748148148,149.674074074,371.422222222,31.362962963,360.807407407,1.34074074074,10279.7333333
3.65853658537,2.91463414634,83.0853658537,11.487804878,225.804878049,73,298.804878049,31.6097560976,288.975609756,1.17073170732,2611.76829268
1.19718309859,2.29929577465,83.7007042254,7.79577464789,217.190140845,73,290.190140845,14.3802816901,231.133802817,2.4014084507,1254.9471831
343/100,3,85,857/100,7923/100,1601/20,3982/25,1751/50,3897/25,1,18753/4

263/71,3,85,589/71,4866/71,4418/71,9284/71,2759/71,9432/71,1,281757/71

4,449/140,12011/140,12,2935/7,3491/20,83137/140,1476/35,89373/140,3,4952

4,3.6768707483,85.3231292517,12,306.551020408,171.261904762,477.81292517,40.2925170068,505.445578231,3,2847.61904762
3.96428571429,4,85.0357142857,35.9642857143,881.982142857,239.053571429,1121.03571429,33.8035714286,1108.53571429,1.03571428571,23554.5
2.52287581699,4,86.477124183,34.522875817,719.823529412,160.496732026,880.320261438,25.8758169935,807.281045752,2.47712418301,7995.92156863
0.652542372881,0.322033898305,86.6694915254,7.33898305085,200.177966102,138.711864407,338.889830508,24.9915254237,303.813559322,1,5262.63559322
1.5974025974,1.07792207792,86.4805194805,6.96103896104,165.974025974,135.688311688,301.662337662,25.5584415584,271.688311688,1,4885.63636364
1.19594594595,3.80405405405,86.6081081081,8,120.472972973,49.4527027027,169.925675676,12.4324324324,131.945945946,1.80405405405,2646.18918919
1.70472440945,3.29527559055,85.5905511811,8,111.31496063,42.8385826772,154.153543307,8.36220472441,113.62992126,1.29527559055,2446.7480315
0.516129032258,2.86290322581,85.6209677419,29.5241935484,232.451612903,265.629032258,498.080645161,45.8306451613,553.096774194,1,13974.6532258
1.67307692308,1.99519230769,85.3317307692,22.2932692308,193.115384615,292.817307692,485.932692308,42.6490384615,524.173076923,1,9457.63942308
9/10,9/10,869/10,56/5,323/5,953/10,1599/10,20,681/5,1,13034/5

0.246835443038,0.246835443038,86.246835443,5.9746835443,88.1139240506,90.7278481013,178.841772152,33.0632911392,176.696202532,1,2762.25316456
1.88043478261,2.41304347826,85.4130434783,18.1739130435,272.97826087,113.130434783,386.108695652,31.0652173913,374.77173913,1.70652173913,7647.65217391
3.57307692308,1.28461538462,84.2846153846,20.4307692308,188.346153846,101.846153846,290.192307692,25.4230769231,264.75,1.14230769231,4788.21538462
11/16,1/32,683/8,495/32,4305/32,1771/16,7847/32,55/2,7125/32,75/32,44961/16

1.56497175141,1.34745762712,87.1299435028,7.13276836158,128.827683616,69.4463276836,198.274011299,34.5197740113,194.138418079,2.78248587571,1366.62146893
59/42,59/84,86,1187/84,2623/14,1487/12,26147/84,2815/84,25747/84,1,35069/6

8/53,4/53,86,317/53,10528/53,6335/53,16863/53,1610/53,16079/53,1,214417/53

1.80681818182,1.80681818182,86.2689393939,11.1931818182,87.0037878788,102.856060606,189.859848485,19.7992424242,166.113636364,2.26893939394,3048.20833333
3.19230769231,3.19230769231,86.7307692308,9.80769230769,141.961538462,87.1538461538,229.115384615,33.1923076923,229.846153846,2.73076923077,2657.03846154
8/3,19/6,263/3,44/3,533/2,925/6,1262/3,293/6,483,11/6,44233/6

1.83928571429,3.58035714286,86.8392857143,11.3571428571,178.383928571,176.919642857,355.303571429,40.9732142857,383.714285714,1.41964285714,5689.6875
1,1,1983/23,271/23,2743/23,4657/46,441/2,534/23,8935/46,87/46,65418/23

1,1,87.9278350515,10.0721649485,66.2371134021,55.912371134,122.149484536,24.9278350515,109.572164948,1.03608247423,2201.13402062
31/15,44/15,85,169/10,433/2,3739/30,5117/15,524/15,5114/15,1,42175/3

67/19,28/19,85,559/38,4483/38,7759/38,6121/19,636/19,6034/19,1,110831/19

2.64583333333,1.58333333333,86.6770833333,10.96875,173.947916667,98.375,272.322916667,23.4791666667,245.708333333,1.67708333333,5110.29166667
3.04651162791,3.18604651163,86.476744186,11.5697674419,142.895348837,91.1627906977,234.058139535,20.6744186047,206.441860465,1.47674418605,4072.53488372
2,23/20,1743/20,309/40,7003/40,1039/10,11159/40,1273/40,10847/40,1,76153/20

2,0.116071428571,86.1160714286,6.17410714286,81.5044642857,221.767857143,303.272321429,36.4776785714,307.879464286,1,3568.8125
246/95,3,85,609/95,1868/19,5552/95,14892/95,2494/95,2684/19,1,292187/95

73/30,3,85,197/30,103,1861/30,4951/30,361/15,871/6,1,30527/10

69/44,207/88,86,433/22,35297/88,163,49641/88,402/11,6428/11,157/88,997171/88

0.263636363636,0.395454545455,86,6.63636363636,183.895454545,105.6,289.495454545,26.1090909091,271.272727273,1.13181818182,3692.72272727
3.59756097561,4,85.4024390244,35.5975609756,840.725609756,219.067073171,1059.79268293,31.7865853659,1031.8902439,1.40243902439,19596.0731707
2.07954545455,4,86.9204545455,34.0795454545,669.948863636,136.335227273,806.284090909,23.4375,714.625,2.92045454545,3210.61363636
1.35114503817,2.70229007634,85.3244274809,13.4580152672,123.36259542,155.076335878,278.438931298,33.6755725191,274.465648855,1,5327.61450382
0.880434782609,1.76086956522,85.5597826087,10.1630434783,149.016304348,144.25,293.266304348,33.4402173913,288.586956522,1,5434.70108696
2.63414634146,3.4512195122,86.8170731707,9.81707317073,109.048780488,53.5243902439,162.573170732,12.2926829268,126.329268293,2.18292682927,1073.59756098
1.25925925926,1.38888888889,86.1296296296,9.12962962963,139.296296296,40.462962963,179.759259259,24.6666666667,161.388888889,2.87037037037,767.685185185
2.29661016949,2.70338983051,86.7033898305,25.0720338983,173.296610169,323.843220339,497.139830508,21.6694915254,429.487288136,1,13349.8601695
3.72950819672,1.27049180328,85.2704918033,15.7581967213,174.729508197,284.43852459,459.168032787,34.5655737705,455.995901639,1,5440.9795082
75/29,75/29,2505/29,133/29,102,3330/29,6288/29,459/29,5059/29,52/29,93548/29

1.14516129032,1.14516129032,84.2177419355,3.14516129032,39.314516129,75.9193548387,115.233870968,18.7096774194,95.9112903226,1.07258064516,2368.37096774
63/17,4,1455/17,262/17,1437/17,3970/17,5407/17,429/17,4856/17,22/17,109494/17

3.16814159292,4,86.6637168142,14.3362831858,26.9911504425,349.681415929,376.672566372,22.0088495575,327.053097345,1.83185840708,4957.73451327
1.9966442953,2.6644295302,86.3355704698,3.6711409396,62.7046979866,48.6476510067,111.352348993,22.6744966443,97.6912751678,1.6677852349,1968.94966443
3.12244897959,3.41496598639,85.5850340136,2.17006802721,49.9455782313,55.0272108844,104.972789116,20.0476190476,89.4353741497,1.2925170068,1314.85714286
3,6.52413793103,85.524137931,11.5724137931,50.2344827586,331.64137931,381.875862069,17.2689655172,310.820689655,1.84137931034,7310.4137931
3,89/20,1669/20,107/20,1461/20,1807/20,817/5,114/5,2801/20,23/20,6587/2

3.32352941176,4.77450980392,86.4509803922,21.0392156863,408.941176471,189.117647059,598.058823529,24.1960784314,540.147058824,2.22549019608,7239.02941176
1.59810126582,4.19936708861,87.6012658228,8.38607594937,222.594936709,92.4936708861,315.088607595,19.5949367089,272.705696203,2.80063291139,2492.37658228
1,57/53,4595/53,493/53,431,2560/53,25403/53,1472/53,23592/53,1,242032/53

1,116/69,5815/69,809/69,18664/69,3500/69,7388/23,597/23,20266/69,1,285551/69

1,2.73291925466,86.2670807453,7.46583850932,154.739130435,79.6397515528,234.378881988,29.3913043478,229.838509317,2,3078.2173913
1,162/71,6157/71,466/71,6277/71,3572/71,9849/71,1414/71,8982/71,2,152845/71

4,3.216,85.216,11.648,117.392,209.376,326.768,44.304,353.44,1.216,10796.408
4,3.88793103448,85.8879310345,13.6637931034,75.0603448276,300.75862069,375.818965517,23.474137931,329.922413793,1.88793103448,4488.99137931
1.31210191083,2.37579617834,85.6878980892,11.0636942675,127.942675159,74.3312101911,202.27388535,11.2420382166,151.878980892,2,3310.55414013
1.6484375,1.703125,85.3515625,10.0546875,123.5703125,58.5234375,182.09375,17.96875,148.515625,2,2947.984375
105/89,113/89,85,469/89,17010/89,7859/89,24869/89,3091/89,24813/89,1,552181/89

2.95588235294,3.93382352941,85,7.93382352941,162.705882353,61.6617647059,224.367647059,32.0661764706,217.522058824,1,4221.25735294
1.62,1.31,86,5.31,85.13,82.26,167.39,14.31,132.87,1.31,2320.36
5/2,7/4,86,23/4,381/4,117/2,615/4,59/4,491/4,7/4,2037

9/4,7/2,173/2,53/4,272,150,422,131/4,1673/4,2,8925

52/19,48/19,1625/19,187/19,3281/19,1592/19,4873/19,539/19,4663/19,2,79443/19

3.71317829457,4,82.7170542636,22.1356589147,379.798449612,177.941860465,557.740310078,38.2790697674,578.852713178,1.28682170543,8360.52325581
2.47959183673,4,85.8010204082,14.1173469388,314.418367347,113.178571429,427.596938776,30.8775510204,414.785714286,2.52040816327,3373.75
29/17,4,1457/17,120/17,4937/17,1844/17,6781/17,614/17,6874/17,1,95060/17

54/43,4,3666/43,439/43,11462/43,3116/43,14578/43,1495/43,14581/43,1,228389/43

1.72881355932,2.75706214689,86,5.75706214689,45.8870056497,31.7288135593,77.615819209,27.4858757062,71.615819209,1.75706214689,1163.26553672
3.04424778761,2.3185840708,86,5.3185840708,52.9026548673,33.0442477876,85.9469026549,28.3628318584,79.9469026549,1.3185840708,976.03539823
4,35/22,2858/33,107/6,6337/22,5707/66,12359/33,221/6,2291/6,1,312641/33

4,3.78225806452,85.1451612903,9.79838709677,228.879032258,117.879032258,346.758064516,28.7983870968,325.588709677,1,5383.4516129
1.52631578947,3.23684210526,84.4736842105,11.3421052632,125.236842105,68.7105263158,193.947368421,11.3421052632,149.368421053,2.23684210526,1865.5
0.246031746032,3.87698412698,85.753968254,6.86111111111,101.551587302,46.3055555556,147.857142857,6.86111111111,107.119047619,2.87698412698,758.694444444
3.775,3.325,85.775,12,285.15,228.275,513.425,33.1,505.85,1.775,13371.225
22/7,10/7,596/7,12,1350/7,797/7,2147/7,214/7,2063/7,8/7,8871

2.71264367816,2.67816091954,83.3218390805,10.0689655172,222.494252874,73,295.494252874,24.9885057471,266.747126437,1.64367816092,2090.34482759
36/23,55/23,1923/23,192/23,5025/23,73,6704/23,390/23,5515/23,51/23,33530/23

139/42,3,85,365/42,1175/14,3691/42,3608/21,100/3,166,1,10009/2

3.75847457627,3,85,8.24152542373,66.4194915254,58.6991525424,125.118644068,39.6186440678,128.288135593,1,3826.00423729
4,82/25,2143/25,12,2009/5,4351/25,14396/25,1047/25,15444/25,3,23128/5

4,48/13,1109/13,12,3937/13,2225/13,474,523/13,6514/13,3,36120/13

3.43452380952,4,85.5654761905,35.4345238095,822.383928571,210.181547619,1032.56547619,30.8898809524,997.81547619,1.56547619048,17836.25
29/11,4,950/11,381/11,16117/22,3667/22,9892/11,53/2,831,26/11,101430/11

0.375838926174,0.10067114094,86.7248322148,7.44966442953,210.194630872,139.597315436,349.791946309,24.8255033557,313.22147651,1,5373.04026846
2.34269662921,1.67415730337,86.3314606742,6.66292134831,138.994382022,133.303370787,272.297752809,26.0056179775,246.348314607,1,4588.26404494
1.16379310345,3.83620689655,86.6724137931,8,121.051724138,49.8706896552,170.922413793,12.6896551724,133.103448276,1.83620689655,2658.79310345
27/17,58/17,1459/17,8,1928/17,754/17,2682/17,158/17,2003/17,24/17,42371/17

-0.808219178082,3.85616438356,85.9520547945,37.801369863,277.479452055,234.506849315,511.98630137,49.4726027397,586.205479452,1,19145.239726
9/4,25/16,1363/16,299/16,347/2,2451/8,3839/8,657/16,2039/4,1,115283/16

0.609243697479,0.609243697479,86.6092436975,8.87394957983,75.0672268908,93.2647058824,168.331932773,25.8151260504,154.226890756,1,2676
0.432038834951,0.432038834951,86.432038835,7.45631067961,81.4466019417,92.0242718447,173.470873786,29.359223301,165.213592233,1,2718.17475728
1.98275862069,2.34482758621,85.3448275862,18.3103448276,267.862068966,112.448275862,380.310344828,30.724137931,368.120689655,1.6724137931,7474.79310345
3.86842105263,1.08771929825,84.0877192982,20.8245614035,173.578947368,99.8771929825,273.456140351,24.4385964912,245.552631579,1.04385964912,4289.28070175
0.52027027027,-0.219594594595,85.0405405405,17.0574324324,135.618243243,118.547297297,254.165540541,26.1621621622,228.091216216,2.26013513514,3085.15540541
3/2,5/4,87,31/4,517/4,145/2,807/4,34,785/4,11/4,2947/2

1.51923076923,0.759615384615,86,14.875,186.326923077,124.317307692,310.644230769,33.7980769231,306.798076923,1,6009.09615385
0.0581395348837,0.0290697674419,86,5.37790697674,199.476744186,119.203488372,318.680232558,30.1453488372,303.145348837,1,3912.43023256
1.83108108108,1.83108108108,86.277027027,11.1689189189,87.9662162162,102.581081081,190.547297297,20.0337837838,167.22972973,2.27702702703,3041.35810811
3.48507462687,3.48507462687,86.828358209,9.51492537313,153.574626866,83.8358208955,237.410447761,36.0223880597,243.313432836,2.82835820896,2574.38059701
2.784,3.108,87.784,15.136,278.996,150.94,429.936,49.948,497.08,1.892,7610.764
1.32089552239,3.83955223881,86.3208955224,9.28358208955,123.175373134,191.175373134,314.350746269,36.0485074627,321.507462687,1.16044776119,4635.54104478
1,1,86.3850931677,11.6149068323,114.062111801,96.7950310559,210.857142857,23.3850931677,185.937888199,1.80745341615,2781.20496894
1,1,437/5,53/5,413/5,699/10,305/2,122/5,1357/10,13/10,11998/5

65/23,50/23,85,725/46,7601/46,7637/46,7619/23,786/23,7562/23,1,9779

3.77,1.23,85,14.345,101.525,217.465,318.99,33.23,313.68,1,4460.05
2.58235294118,1.32941176471,86.7088235294,10.8735294118,178.867647059,99.5176470588,278.385294118,23.9235294118,251.929411765,1.70882352941,5274.70588235
3.60126582278,5.40506329114,86.1993670886,12.4018987342,99.9018987342,81.1772151899,181.079113924,16.7911392405,152.075949367,1.19936708861,2635.72151899
2,55/29,2549/29,513/58,14073/58,545/29,15163/58,1651/58,14191/58,1,115423/29

2,13/20,1733/20,279/40,5193/40,1609/10,11629/40,1363/40,11557/40,1,73843/20

2.69205298013,3,85,6.30794701987,95.238410596,56.082781457,151.321192053,27.6887417219,138.698675497,1,3090.73178808
94/45,3,85,311/45,340/3,3148/45,8248/45,866/45,1384/9,1,45031/15

1.73831775701,2.60747663551,86,21.3831775701,429.429906542,170.485981308,599.91588785,37.9065420561,625.196261682,1.8691588785,12327.7196262
0.468085106383,0.702127659574,86,8.68085106383,217.936170213,114.595744681,332.531914894,27.7446808511,320.340425532,1.23404255319,4889.87234043
3.41860465116,4,85.5813953488,35.4186046512,820.593023256,209.313953488,1029.90697674,30.8023255814,994.488372093,1.58139534884,17664.4186047
2.88405797101,4,86.115942029,34.884057971,760.456521739,180.18115942,940.637681159,27.8623188406,882.768115942,2.11594202899,11894.5217391
1.64383561644,3.28767123288,85.1780821918,15.5068493151,107.410958904,161.808219178,269.219178082,33.8219178082,265.684931507,1,5261.02739726
14/29,28/29,2487/29,214/29,4950/29,3918/29,8868/29,964/29,8715/29,1,160230/29

145/51,64/17,4433/51,506/51,5327/51,2831/51,8158/51,177/17,121,106/51,57125/51

1.97674418605,2.46511627907,86.488372093,9.48837209302,123.511627907,47.2790697674,170.790697674,18.2093023256,143.093023256,2.51162790698,927.325581395
23/9,22/9,778/9,421/18,1562/9,5701/18,8825/18,24,7817/18,1,214571/18

3.45161290323,1.54838709677,85.5483870968,17.564516129,174.451612903,292.080645161,466.532258065,32.064516129,450.85483871,1,6974.82258065
2.56571428571,2.56571428571,86.3485714286,4.56571428571,101.108571429,114.274285714,215.382857143,15.8685714286,173.331428571,1.78285714286,3213.6
1.59863945578,1.59863945578,84.8979591837,3.59863945578,59.0408163265,88.1632653061,147.204081633,17.8027210884,120.62585034,1.29931972789,2638.19047619
3.99404761905,4,85.0119047619,15.9880952381,115.363095238,171.285714286,286.648809524,26.9642857143,263.458333333,1.00595238095,7235.58333333
3.08108108108,4,86.8378378378,14.1621621622,17.6756756757,368.486486486,386.162162162,21.4864864865,333.756756757,1.91891891892,4717.62162162
1.36585365854,2.24390243902,86.756097561,4.51219512195,69.8536585366,45.0731707317,114.926829268,24.1463414634,102.317073171,1.87804878049,2335.43902439
3.30136986301,3.53424657534,85.4657534247,1.93150684932,47.9178082192,56.0410958904,103.95890411,19.6301369863,88.1232876712,1.23287671233,1210.90410959
3,6.43103448276,85.4310344828,11.2931034483,51.2586206897,320.810344828,372.068965517,17.5172413793,303.155172414,1.81034482759,7130.10344828
3,269/50,4219/50,407/50,3141/50,9927/50,6534/25,508/25,10831/50,73/50,25473/5

3,14/3,260/3,56/3,374,171,545,70/3,490,7/3,6349

2.1375,4.37916666667,87.2416666667,12.3416666667,280.85,122.7,403.55,21.0333333333,356.3125,2.62083333333,3976.2625
1,61/41,3487/41,449/41,13191/41,2048/41,15239/41,1088/41,14024/41,1,175280/41

1,105/64,1351/16,185/16,17999/64,809/16,21235/64,1669/64,9723/32,1,266693/64

1,389/140,12071/140,529/70,3229/20,2313/28,8542/35,607/20,33641/140,2,63437/20

1,2.25449101796,86.745508982,6.50898203593,84.4101796407,48.5419161677,132.952095808,19.3443113772,120.278443114,2,2096.96107784
4,3.15328467153,85.1532846715,11.4598540146,121.343065693,200.846715328,322.189781022,46.2481751825,355.635036496,1.15328467153,11385.1167883
4,3.89814814815,85.8981481481,13.6944444444,74.4166666667,302.148148148,376.564814815,23.1574074074,329.564814815,1.89814814815,4393.08333333
1.22891566265,2.5421686747,85.7710843373,11.313253012,129.024096386,78.2409638554,207.265060241,9.57831325301,152.710843373,2,3400.22891566
94/57,97/57,4865/57,191/19,7043/57,3334/57,3459/19,1025/57,8465/57,2,167993/57

49/33,19/11,85,63/11,6146/33,921/11,8909/33,377/11,2951/11,1,17591/3

99/47,125/47,85,313/47,8286/47,3497/47,11783/47,1567/47,11601/47,1,242977/47

1.63565891473,1.31782945736,86,5.31782945736,85.3100775194,81.8372093023,167.147286822,14.3178294574,132.689922481,1.31782945736,2315.31782946
2.14634146341,1.57317073171,86,5.57317073171,91.1829268293,68.0487804878,159.231707317,14.5731707317,126.817073171,1.57317073171,2150.87804878
2.32222222222,3.35555555556,86.3555555556,12.7444444444,257.266666667,140.177777778,397.444444444,32.1,392.611111111,2,8221.26666667
2.79702970297,2.40594059406,85.4059405941,9.42079207921,160.405940594,75.603960396,236.00990099,27.8267326733,224.054455446,2,3594.74257426
3.73134328358,4,82.671641791,22.2537313433,380.76119403,178.895522388,559.656716418,38.3880597015,581.268656716,1.26865671642,8433.95522388
2.47321428571,4,85.8169642857,14.0758928571,314.080357143,112.84375,426.924107143,30.8392857143,413.9375,2.52678571429,3347.96875
159/98,4,8391/98,107/14,28027/98,4988/49,5429/14,3515/98,38441/98,1,77557/14

17/14,4,1193/14,21/2,3701/14,484/7,667/2,485/14,4663/14,1,10571/2

2.09459459459,2.63513513514,86,5.63513513514,47.8378378378,32.0945945946,79.9324324324,27.7297297297,73.9324324324,1.63513513514,1111.2027027
3.9765625,2.0078125,86,5.0078125,57.875,33.9765625,91.8515625,28.984375,85.8515625,1.0078125,843.3359375
4,193/112,4845/56,1943/112,31861/112,9897/112,20879/56,4071/112,6055/16,1,9227

4,2.93928571429,85.7071428571,12.8892857143,251.639285714,105.796428571,357.435714286,31.8892857143,347.225,1,6957
1.1724137931,3.41379310345,84.8275862069,10.1034482759,118.689655172,62.5172413793,181.206896552,10.1034482759,137.689655172,2.41379310345,1559.55172414
0.239583333333,3.88020833333,85.7604166667,6.83854166667,101.432291667,46.1927083333,147.625,6.83854166667,106.90625,2.88020833333,753.119791667
3.7602739726,3.28082191781,85.7602739726,12,283,225.609589041,508.609589041,33.0410958904,500.931506849,1.7602739726,13266.390411
3.07,1.21,85.07,12,182.22,100.67,282.89,30.28,270.38,1.07,8352.33
142/49,267/98,8161/98,507/49,1562/7,73,2073/7,184/7,13284/49,76/49,4385/2

28/25,57/25,2093/25,192/25,5423/25,73,7248/25,346/25,5733/25,61/25,6062/5

321/98,3,85,855/98,8355/98,8829/98,8592/49,230/7,1182/7,1,71313/14

47/12,3,85,97/12,241/4,581/12,326/3,251/6,115,1,13643/4

4,3.07281553398,85.927184466,12,451.524271845,175.490291262,627.014563107,42.7087378641,676.393203883,3,5553.78640777
4,149/38,3233/38,12,4711/19,6443/38,835/2,747/19,16581/38,3,33320/19

31/8,4,681/8,287/8,13951/16,3747/16,8849/8,533/16,8719/8,9/8,90363/4

2.49090909091,4,86.5090909091,34.4909090909,716.227272727,158.754545455,874.981818182,25.7,800.6,2.50909090909,7650.87272727
-0.541666666667,-0.633333333333,86.9083333333,7.81666666667,243.408333333,142.533333333,385.941666667,24.275,344.416666667,1,5739.125
15/4,14/5,1721/20,61/10,1761/20,644/5,4337/20,537/20,397/2,1,16107/4

1.28488372093,3.71511627907,86.4302325581,8,118.872093023,48.2965116279,167.168604651,11.7209302326,128.744186047,1.71511627907,2611.3255814
1.68791946309,3.31208053691,85.6241610738,8,111.617449664,43.0570469799,154.674496644,8.4966442953,114.234899329,1.31208053691,2453.33557047
